"","Year","Geography","Rate","Cases","case","state"
"204",2011,"Ohio",184.2,"17,751",17751,"Ohio"
"205",2011,"Oklahoma",162.6,"5,046",5046,"Oklahoma"
"206",2011,"Oregon",182.3,"5,924",5924,"Oregon"
"207",2011,"Pennsylvania",291.4,"31,480",31480,"Pennsylvania"
"208",2011,"Rhode Island",234.5,"2,106",2106,"Rhode Island"
"209",2011,"South Carolina",427.8,"16,664",16664,"South Carolina"
"210",2011,"South Dakota",57.1,"385",385,"South Dakota"
"211",2011,"Tennessee",290.2,"15,464",15464,"Tennessee"
"212",2011,"Texas",329.2,"67,832",67832,"Texas"
"213",2011,"Utah",105,"2,265",2265,"Utah"
"214",2011,"Vermont",95.3,"514",514,"Vermont"
"215",2011,"Virginia",288.9,"19,564",19564,"Virginia"
"216",2011,"Washington",188.1,"10,687",10687,"Washington"
"217",2011,"West Virginia",112,"1,770",1770,"West Virginia"
"218",2011,"Wisconsin",108.5,"5,167",5167,"Wisconsin"
"219",2011,"Wyoming",54,"253",253,"Wyoming"
"220",2011,"American Samoa",0,"0",0,"American Samoa"
"221",2011,"Guam",54.1,"66",66,"Guam"
"222",2011,"Northern Mariana Islands",12.4,"5",5,"Northern Mariana Islands"
"223",2011,"Puerto Rico",545.9,"16,826",16826,"Puerto Rico"
"224",2011,"U.S. Virgin Islands",636.2,"562",562,"U.S. Virgin Islands"
"225",2012,"Alabama",288.8,"11,610",11610,"Alabama"
"226",2012,"Alaska",112.7,"669",669,"Alaska"
"227",2012,"Arizona",249.6,"13,445",13445,"Arizona"
"228",2012,"Arkansas",192.9,"4,700",4700,"Arkansas"
"229",2012,"California",361.9,"113,948",113948,"California"
"230",2012,"Colorado",248.4,"10,657",10657,"Colorado"
"231",2012,"Connecticut",342,"10,405",10405,"Connecticut"
"232",2012,"Delaware",422.8,"3,256",3256,"Delaware"
"233",2012,"District of Columbia",2793.9,"15,456",15456,"District of Columbia"
"234",2012,"Florida",589.5,"97,264",97264,"Florida"
"235",2012,"Georgia",535.5,"43,485",43485,"Georgia"
"236",2012,"Hawaii",224.3,"2,618",2618,"Hawaii"
"237",2012,"Idaho",76.1,"978",978,"Idaho"
"238",2012,"Illinois",310.3,"33,193",33193,"Illinois"
"239",2012,"Indiana",176.5,"9,533",9533,"Indiana"
"240",2012,"Iowa",85.8,"2,192",2192,"Iowa"
"241",2012,"Kansas",116.9,"2,756",2756,"Kansas"
"242",2012,"Kentucky",158.1,"5,769",5769,"Kentucky"
"243",2012,"Louisiana",451.1,"17,120",17120,"Louisiana"
"244",2012,"Maine",115.7,"1,324",1324,"Maine"
"245",2012,"Maryland",612.9,"30,202",30202,"Maryland"
"246",2012,"Massachusetts",326.4,"18,512",18512,"Massachusetts"
"247",2012,"Michigan",175.9,"14,592",14592,"Michigan"
"248",2012,"Minnesota",160.2,"7,142",7142,"Minnesota"
"249",2012,"Mississippi",347.9,"8,525",8525,"Mississippi"
"250",2012,"Missouri",218,"10,940",10940,"Missouri"
"251",2012,"Montana",58.7,"496",496,"Montana"
"252",2012,"Nebraska",124.2,"1,883",1883,"Nebraska"
"253",2012,"Nevada",330.8,"7,543",7543,"Nevada"
"254",2012,"New Hampshire",101.9,"1,153",1153,"New Hampshire"
"255",2012,"New Jersey",467,"34,714",34714,"New Jersey"
"256",2012,"New Mexico",173.9,"2,980",2980,"New Mexico"
"257",2012,"New York",762.1,"126,273",126273,"New York"
"258",2012,"North Carolina",334,"27,042",27042,"North Carolina"
"259",2012,"North Dakota",42.6,"250",250,"North Dakota"
"260",2012,"Ohio",190.6,"18,409",18409,"Ohio"
"261",2012,"Oklahoma",166.7,"5,220",5220,"Oklahoma"
"262",2012,"Oregon",186.1,"6,110",6110,"Oregon"
"263",2012,"Pennsylvania",298.2,"32,321",32321,"Pennsylvania"
"264",2012,"Rhode Island",236.9,"2,133",2133,"Rhode Island"
"265",2012,"South Carolina",395.7,"15,601",15601,"South Carolina"
"266",2012,"South Dakota",59,"403",403,"South Dakota"
"267",2012,"Tennessee",299.1,"16,105",16105,"Tennessee"
"268",2012,"Texas",338,"70,978",70978,"Texas"
"269",2012,"Utah",105.9,"2,323",2323,"Utah"
"270",2012,"Vermont",106.3,"574",574,"Vermont"
"271",2012,"Virginia",300.4,"20,571",20571,"Virginia"
"272",2012,"Washington",192.9,"11,092",11092,"Washington"
"273",2012,"West Virginia",117,"1,851",1851,"West Virginia"
"274",2012,"Wisconsin",110.4,"5,286",5286,"Wisconsin"
"275",2012,"Wyoming",54.3,"259",259,"Wyoming"
"276",2012,"American Samoa",0,"0",0,"American Samoa"
"277",2012,"Guam",56.1,"69",69,"Guam"
"278",2012,"Northern Mariana Islands",10.1,"4",4,"Northern Mariana Islands"
"279",2012,"Puerto Rico",553.6,"16,934",16934,"Puerto Rico"
"280",2012,"U.S. Virgin Islands",619.6,"547",547,"U.S. Virgin Islands"
"281",2013,"Alabama",297.2,"12,011",12011,"Alabama"
"282",2013,"Alaska",111,"666",666,"Alaska"
"283",2013,"Arizona",255.7,"13,986",13986,"Arizona"
"284",2013,"Arkansas",199.5,"4,883",4883,"Arkansas"
"285",2013,"California",366.7,"116,798",116798,"California"
"286",2013,"Colorado",248.6,"10,862",10862,"Colorado"
"287",2013,"Connecticut",347.7,"10,622",10622,"Connecticut"
"288",2013,"Delaware",414.7,"3,230",3230,"Delaware"
"289",2013,"District of Columbia",2759.6,"15,546",15546,"District of Columbia"
"290",2013,"Florida",594.9,"99,561",99561,"Florida"
"291",2013,"Georgia",573.5,"47,045",47045,"Georgia"
"292",2013,"Hawaii",227.6,"2,688",2688,"Hawaii"
"293",2013,"Idaho",79.3,"1,033",1033,"Idaho"
"294",2013,"Illinois",316.1,"33,938",33938,"Illinois"
"295",2013,"Indiana",181.8,"9,887",9887,"Indiana"
"296",2013,"Iowa",87.6,"2,252",2252,"Iowa"
"297",2013,"Kansas",118.1,"2,798",2798,"Kansas"
"298",2013,"Kentucky",170.9,"6,269",6269,"Kentucky"
"299",2013,"Louisiana",470.2,"17,969",17969,"Louisiana"
"300",2013,"Maine",118.5,"1,359",1359,"Maine"
"301",2013,"Maryland",617,"30,681",30681,"Maryland"
"302",2013,"Massachusetts",330.5,"18,928",18928,"Massachusetts"
"303",2013,"Michigan",180.4,"15,024",15024,"Michigan"
"304",2013,"Minnesota",163.2,"7,337",7337,"Minnesota"
"305",2013,"Mississippi",351.8,"8,664",8664,"Mississippi"
"306",2013,"Missouri",222,"11,193",11193,"Missouri"
"307",2013,"Montana",63.2,"539",539,"Montana"
"308",2013,"Nebraska",126.1,"1,928",1928,"Nebraska"
"309",2013,"Nevada",338.2,"7,833",7833,"Nevada"
"310",2013,"New Hampshire",104.5,"1,187",1187,"New Hampshire"
"311",2013,"New Jersey",474.1,"35,448",35448,"New Jersey"
"312",2013,"New Mexico",171.4,"2,947",2947,"New Mexico"
"313",2013,"New York",765.4,"127,521",127521,"New York"
"314",2013,"North Carolina",339.4,"27,842",27842,"North Carolina"
"315",2013,"North Dakota",43.1,"260",260,"North Dakota"
"316",2013,"Ohio",196.9,"19,086",19086,"Ohio"
"317",2013,"Oklahoma",171.4,"5,421",5421,"Oklahoma"
"318",2013,"Oregon",185.6,"6,153",6153,"Oregon"
"319",2013,"Pennsylvania",302.6,"32,879",32879,"Pennsylvania"
"320",2013,"Rhode Island",240.9,"2,174",2174,"Rhode Island"
"321",2013,"South Carolina",390.1,"15,574",15574,"South Carolina"
"322",2013,"South Dakota",64.3,"445",445,"South Dakota"
"323",2013,"Tennessee",302.4,"16,415",16415,"Tennessee"
"324",2013,"Texas",347.4,"74,282",74282,"Texas"
"325",2013,"Utah",112.7,"2,523",2523,"Utah"
"326",2013,"Vermont",114.2,"619",619,"Vermont"
"327",2013,"Virginia",302.1,"20,914",20914,"Virginia"
"328",2013,"Washington",198,"11,527",11527,"Washington"
"329",2013,"West Virginia",116.1,"1,835",1835,"West Virginia"
"330",2013,"Wisconsin",120.7,"5,806",5806,"Wisconsin"
"331",2013,"Wyoming",54.4,"262",262,"Wyoming"
"332",2013,"American Samoa",0,"0",0,"American Samoa"
"333",2013,"Guam",54.8,"68",68,"Guam"
"334",2013,"Northern Mariana Islands",12.7,"5",5,"Northern Mariana Islands"
"335",2013,"Puerto Rico",559.9,"17,026",17026,"Puerto Rico"
"336",2013,"U.S. Virgin Islands",632.6,"558",558,"U.S. Virgin Islands"
"337",2014,"Alabama",306.2,"12,439",12439,"Alabama"
"338",2014,"Alaska",106.2,"637",637,"Alaska"
"339",2014,"Arizona",264.5,"14,726",14726,"Arizona"
"340",2014,"Arkansas",210.4,"5,174",5174,"Arkansas"
"341",2014,"California",371,"119,589",119589,"California"
"342",2014,"Colorado",251.5,"11,199",11199,"Colorado"
"343",2014,"Connecticut",334.5,"10,236",10236,"Connecticut"
"344",2014,"Delaware",406.9,"3,213",3213,"Delaware"
"345",2014,"District of Columbia",2665,"15,200",15200,"District of Columbia"
"346",2014,"Florida",609,"103,696",103696,"Florida"
"347",2014,"Georgia",564,"46,870",46870,"Georgia"
"348",2014,"Hawaii",230,"2,741",2741,"Hawaii"
"349",2014,"Idaho",77.9,"1,031",1031,"Idaho"
"350",2014,"Illinois",324,"34,843",34843,"Illinois"
"351",2014,"Indiana",187.9,"10,279",10279,"Indiana"
"352",2014,"Iowa",91.1,"2,355",2355,"Iowa"
"353",2014,"Kansas",121.2,"2,884",2884,"Kansas"
"354",2014,"Kentucky",176.7,"6,511",6511,"Kentucky"
"355",2014,"Louisiana",493,"18,950",18950,"Louisiana"
"356",2014,"Maine",126.4,"1,454",1454,"Maine"
"357",2014,"Maryland",638.9,"32,002",32002,"Maryland"
"358",2014,"Massachusetts",333.9,"19,290",19290,"Massachusetts"
"359",2014,"Michigan",178.8,"14,944",14944,"Michigan"
"360",2014,"Minnesota",166.6,"7,549",7549,"Minnesota"
"361",2014,"Mississippi",363.8,"8,983",8983,"Mississippi"
"362",2014,"Missouri",228.2,"11,560",11560,"Missouri"
"363",2014,"Montana",63.7,"548",548,"Montana"
"364",2014,"Nebraska",130.6,"2,014",2014,"Nebraska"
"365",2014,"Nevada",355.9,"8,405",8405,"Nevada"
"366",2014,"New Hampshire",108.4,"1,240",1240,"New Hampshire"
"367",2014,"New Jersey",474.8,"35,682",35682,"New Jersey"
"368",2014,"New Mexico",179.7,"3,096",3096,"New Mexico"
"369",2014,"New York",781.6,"130,753",130753,"New York"
"370",2014,"North Carolina",348,"28,897",28897,"North Carolina"
"371",2014,"North Dakota",49.8,"306",306,"North Dakota"
"372",2014,"Ohio",204.6,"19,911",19911,"Ohio"
"373",2014,"Oklahoma",176,"5,605",5605,"Oklahoma"
"374",2014,"Oregon",186.9,"6,275",6275,"Oregon"
"375",2014,"Pennsylvania",308.6,"33,593",33593,"Pennsylvania"
"376",2014,"Rhode Island",249.9,"2,264",2264,"Rhode Island"
"377",2014,"South Carolina",393.5,"15,942",15942,"South Carolina"
"378",2014,"South Dakota",70.4,"492",492,"South Dakota"
"379",2014,"Tennessee",295,"16,163",16163,"Tennessee"
"380",2014,"Texas",357.1,"77,896",77896,"Texas"
"381",2014,"Utah",114.9,"2,618",2618,"Utah"
"382",2014,"Vermont",122,"662",662,"Vermont"
"383",2014,"Virginia",311.3,"21,740",21740,"Virginia"
"384",2014,"Washington",203.7,"12,030",12030,"Washington"
"385",2014,"West Virginia",120.2,"1,896",1896,"West Virginia"
"386",2014,"Wisconsin",123.1,"5,952",5952,"Wisconsin"
"387",2014,"Wyoming",55.7,"269",269,"Wyoming"
"388",2014,"American Samoa",0,"0",0,"American Samoa"
"389",2014,"Guam",55.1,"69",69,"Guam"
"390",2014,"Northern Mariana Islands",12.6,"5",5,"Northern Mariana Islands"
"391",2014,"Puerto Rico",567.3,"17,072",17072,"Puerto Rico"
"392",2014,"U.S. Virgin Islands",642.1,"565",565,"U.S. Virgin Islands"
